"","rand_survey_id","id","year","fec","post","livelihoods_Z","income_Z_t","assets_Z_t","durableLoan_t","susFarm","lab_index","inc_ntfp_t","inc_farm_wage_t","totalIncome_t_us","consumptionExp_t_us","irregularExp_t_us","durableLoan_t_us","susFarm_us","inc_farm_wage_t_us","inc_ntfp_t_us","lab_index_us"
"1133",847,567,2010,1,0,-0.685655455286581,-0.729850113510979,-0.37752011909648,-0.343793346057863,-0.319148425395377,-1.5107859785903,-0.727056542736264,-0.967210729794636,6.29157256889596,6.24572285212311,6.98471717745598,0,0,0,0,0
"1134",847,567,2014,1,1,-0.137213315911995,-0.0266525228725187,0.221281524856104,-0.343793346057863,-0.319148425395377,1.20409403822876,1.17760779779871,-0.967210729794636,7.72312028805294,5.41166598110621,7.4787351447608,0,0,0,4.09462222433053,2.5
"1135",636,568,2010,0,0,-0.303771463316702,0.496021936494732,-0.482730486929852,-0.343793346057863,4.37587952153218,0.443927633519425,2.26828837956772,1.74217317749602,8.069655404787,6.13340274838078,7.79317451737945,0,4,5.99147079704939,6.43935292291795,1.8
"1136",636,568,2014,0,1,-0.446801678942904,-0.573174824591977,-0.0106493333731469,-0.343793346057863,-0.319148425395377,1.74707004159258,-0.727056542736264,-0.967210729794636,5.29834236561059,5.66989281337487,7.61085303546917,0,0,0,0,3
"1137",780,569,2010,1,0,-0.244243558622298,0.821868608516342,-0.59470581411471,-0.343793346057863,NA,-0.859214774553726,-0.727056542736264,0.0784896400597471,8.11850515637546,6.55108237585348,8.08456251026039,0,NA,2.31243834127275,0,0.6
"1138",780,569,2014,1,1,-0.0752118541829224,-0.315284631772254,0.550065584068128,-0.343793346057863,2.0283655480684,0.299134032622409,-0.727056542736264,-0.967210729794636,7.79975348625281,5.81114995696388,6.44572233890239,0,2,0,0,1.66666666666667
"1139",467,570,2010,1,0,-0.504901801107447,-1.06412673545853,0.221281524856104,-0.343793346057863,NA,-0.859214774553726,-0.727056542736264,0.388606111707338,5.19298771365894,2.49177985264491,6.15698347420802,0,NA,2.99822295029797,0,0.6
"1140",467,570,2014,1,1,-0.488321654949445,-0.690328083800182,-0.0106493333731469,-0.343793346057863,-0.319148425395377,1.02310203710749,-0.727056542736264,1.19775704783897,6.4297220794858,6.79794165858804,6.89972412347739,0,0,4.78756117999381,0,2.33333333333333
"1141",552,571,2010,0,0,-0.659343095755914,-1.05342136797351,-0.0953764691977971,-0.343793346057863,-0.319148425395377,1.095498837556,-0.727056542736264,-0.967210729794636,5.39364820686909,2.5708146780957,6.15273722160863,0,0,0,0,2.4
"1142",552,571,2014,0,1,0.546666064326898,-0.422698704187832,1.87073918827913,-0.343793346057863,-0.319148425395377,-0.0628499696201337,-0.727056542736264,-0.967210729794636,7.04228693603491,6.76157410839327,7.21964257604862,0,0,0,0,1.33333333333333
